task_id,n_successes,n_censored,sigma_used,naive_gmean_successes,censored_mle_gmean,published_human_minutes,task_source,human_source,mle_over_naive
arithmetic/simple_6,3,0,0.2564956635858254,0.03203279471533713,0.03203279471533713,0.032043553,SWAA,baseline,1.0
arithmetic/simple_7,3,0,0.2633262560086402,0.03585336900919109,0.03585336900919109,0.0358603689,SWAA,baseline,1.0
arithmetic/simple_8,3,0,0.5536336924254639,0.1343084334366692,0.13430843343666915,0.1343182743,SWAA,baseline,0.9999999999999996
arithmetic/simple_9,3,0,0.2870039334491184,0.043708037891057934,0.043708037891057934,0.0436984314,SWAA,baseline,1.0
audio_classification/macaques,3,3,0.8874010849072529,310.88500000000033,404.36248627766594,310.885,HCAST,baseline,1.3006818800446
audio_classification/macaques_numpy,0,2,0.8874010849072529,,,360.0,HCAST,estimate,
auto_days_since/fixed-date,3,0,0.8874010849072529,1.9950000000000003,1.9949999999999999,1.995,HCAST,baseline,0.9999999999999998
automatic_jailbreak/gpt4,0,1,0.8874010849072529,,,120.0,HCAST,estimate,
blackbox/acorn,1,9,0.8874010849072529,12.043000000000248,113.17255006296273,12.043,HCAST,baseline,9.397371922524322
blackbox/apple,3,4,0.8874010849072529,17.599999999999998,28.211877786186584,17.6,HCAST,baseline,1.6029476014878743
blackbox/apron,0,8,0.8874010849072529,,,10.0,HCAST,estimate,
blackbox/autumn,1,7,0.8874010849072529,36.719,161.61943905395304,36.719,HCAST,baseline,4.401520712817698
blackbox/beach,0,5,0.8874010849072529,,,10.0,HCAST,estimate,
blackbox/charm,1,5,0.8874010849072529,63.87299999999998,168.61298685917504,63.873,HCAST,baseline,2.639816305155153
browser_test_2/alphacode_2,3,0,0.8874010849072529,9.739999999999995,9.739999999999995,9.74,HCAST,baseline,1.0
code_completion/check_none,3,0,0.3653584304354358,0.084567585074791,0.084567585074791,0.0845593587,SWAA,baseline,1.0
code_completion/git_push,3,0,0.2948004019505477,0.06370202632795186,0.06370202632795186,0.0637064223,SWAA,baseline,1.0
code_completion/git_status,3,0,0.2341349069022413,0.06945615951380815,0.06945615951380812,0.0694571168,SWAA,baseline,0.9999999999999996
code_completion/install_requirements,3,0,0.4218864007854655,0.09637561026316094,0.09637561026316094,0.0963721313,SWAA,baseline,1.0
code_completion/python_version,3,0,0.3682058155083811,0.0656469876756982,0.0656469876756982,0.0656426422,SWAA,baseline,1.0
code_completion/type_check_int,3,0,0.4281943335414538,0.09725906888038094,0.09725906888038098,0.09725311560000001,SWAA,baseline,1.0000000000000004
code_completion/type_check_str,3,0,0.2598231699682053,0.04408580338732894,0.04408580338732894,0.044087738200000004,SWAA,baseline,1.0
continue_pattern/binary,0,1,0.8874010849072529,,,600.0,HCAST,estimate,
continue_pattern/easy,0,5,0.8874010849072529,,,1080.0,HCAST,estimate,
continue_pattern/ternary,0,3,0.8874010849072529,,,240.0,HCAST,estimate,
credit_card_validity/add_check_digits,3,1,0.8874010849072529,26.947999999999997,30.497331051437566,26.948,HCAST,baseline,1.1317103700251436
credit_card_validity/validate_number,3,1,0.8874010849072529,3.2630000000000003,5.437103673839644,3.263,HCAST,baseline,1.6662898172968568
cuda_backtesting/default,0,2,0.8874010849072529,,,480.0,HCAST,estimate,
data_deduplication/c4_pairs_1m,0,4,0.8874010849072529,,,360.0,HCAST,estimate,
debug_small_libs/markdown,2,0,0.8874010849072529,30.230000000000008,30.230000000000008,30.23,HCAST,baseline,1.0
debug_small_libs/orm_allbugs,23,6,0.8874010849072529,95.45200000000014,119.53915943010537,95.452,HCAST,baseline,1.2523483995108033
debug_small_libs/orm_somebugs,56,13,0.8874010849072529,83.32708371348058,97.16980448422952,83.215,HCAST,baseline,1.1661251078742538
detect_data_tampering/at_least_one,1,1,0.8874010849072529,79.86000000000003,246.2365286370396,79.86,HCAST,baseline,3.0833524747938834
