metr,metr+x_param,x_param_only
212.7231918,207.5847085,203.3365985
196.1693659,193.9963104,193.2223588
210.7883898,206.2737416,199.5435487
194.6989645,194.2267408,194.0665271
183.7708099,179.6319042,197.9629911
193.3675915,196.4111824,194.506086
205.3187188,208.0633653,198.2878184
209.7273486,209.4599001,199.627211
190.1165039,176.1523997,194.7446327
206.209067,201.4749579,197.7239426
212.4062777,202.2301739,200.9478313
195.1937245,187.6642634,198.4009006
192.7630436,186.9297707,200.2247886
199.941204,199.2663803,198.6951754
199.324158,200.7286684,197.6308806
191.4482634,189.5086478,197.4526371
204.3990086,207.3013482,200.016568
192.9300113,195.2661411,202.6041086
188.3423879,191.5906925,199.9841948
191.5573774,184.7822585,197.7544573
190.2553342,185.2890362,198.436331
208.7660331,202.047516,201.1457183
191.1403245,187.7031933,202.1805471
228.4883711,221.8215869,199.2805029
202.7681684,196.9177501,196.1572867
188.773043,190.5245129,197.0622086
212.3058387,204.7096068,197.5665766
228.8456254,240.1420756,197.3305982
203.4817185,203.7245003,195.3993106
210.7989347,210.3455947,195.1758293
200.0311511,204.9739611,194.8936449
196.3702789,191.9626724,195.6948138
196.2507001,203.8953791,200.0832431
206.3858042,211.0945107,195.170912
203.681101,197.5727941,202.5111118
190.0646248,194.0637016,195.5781093
193.2948919,195.7132909,194.4315803
194.6817768,184.0221708,199.810832
224.3328096,233.5561567,191.5936509
240.3924159,238.5196058,200.0636738
213.7647652,214.2051215,197.7354254
181.8319911,174.2704458,195.914454
213.3920158,210.7402642,201.052076
185.5939314,181.1336491,197.7222719
195.4339624,196.7477353,197.4102321
199.5222796,194.7586665,195.0517785
206.4082025,200.7037826,198.3370806
195.7369748,194.9240203,199.9777358
195.6487715,189.0984869,197.3095733
210.3911337,210.001036,197.8355647
217.8287978,222.8792006,200.4030205
204.1891375,194.9807853,198.969778
200.5497477,199.8487081,197.82642
201.6821585,198.3842393,200.5343619
181.3463065,172.8730039,194.9602119
169.7768034,165.8035932,197.1801748
208.9501913,214.2894838,194.5899556
209.2280067,203.7783677,203.0059428
207.6385694,210.9277672,198.7655709
200.0458578,200.9152663,195.9549746
204.4273913,203.4508165,196.4402642
208.2608597,204.5463849,200.8855893
210.8615642,208.13778,202.963057
192.6517429,188.5259788,199.5510512
225.6904677,216.3915741,201.3386488
198.2704815,190.1878705,199.508112
192.2885247,191.1524076,198.1023995
212.3123444,210.9770638,203.3966744
204.1349763,200.0423609,204.2787772
196.0291267,195.1330661,200.5995276
194.9883893,185.9617942,197.4056643
222.2645682,224.0180775,200.6288798
189.812984,187.5516891,199.8670387
188.7705198,180.959158,200.8344439
188.7898899,191.9599577,202.0702776
192.0370534,187.1641018,198.1864556
198.0123973,182.7474939,199.8511832
203.0508536,202.5617075,205.6893732
217.3378642,222.575373,192.5377923
184.9266126,193.1057327,201.7686246
211.3381967,206.3409817,199.2401148
205.812611,201.6479702,202.4238895
214.577303,220.0302463,201.1939243
178.8002626,180.0228611,195.5073448
199.3289999,200.3436979,202.7411444
201.3937192,201.8444972,197.7122433
210.6232265,207.2227853,198.4478765
182.2764718,180.8782974,197.2479851
192.6333312,191.3338396,198.848788
192.4794155,194.4022961,200.8449994
219.7569341,217.6633889,205.0771941
201.5684618,205.74516,198.4720484
208.0872951,206.9026596,196.9558344
176.87661,171.4572224,202.1164355
198.726642,197.1803994,200.2295767
192.8556906,181.3946213,195.7146438
224.4359201,235.3707761,196.6574305
204.8531771,192.4724811,199.4067857
210.8526765,207.9581249,197.258289
193.7400227,199.4812073,198.4324321
187.8049309,180.5096493,199.0959147
211.1665784,203.8451314,191.9132027
193.991672,195.8160967,197.7365534
208.329017,205.2204878,199.3859533
198.0261907,197.7112269,197.0178599
210.9098544,209.2524817,201.6497004
205.8421451,203.3855705,199.6051621
197.1292119,194.1177829,199.8510493
196.5779172,195.8018925,199.0804588
194.3132285,188.2189839,196.5521722
186.4441856,187.2417772,198.0572174
212.3443166,207.6875354,196.0836513
201.1679948,207.553662,201.6727154
180.3399563,178.1297763,202.4579075
197.1834026,199.1117758,197.2843019
197.0152519,194.2448492,200.8646375
210.2599905,204.9697564,197.336953
218.0355206,212.6967621,195.9417896
207.1456452,198.5909893,200.9444
192.8013327,183.1051495,197.7321739
211.2348885,211.2555771,200.3727358
201.0081066,199.88333,199.3937762
209.4339354,205.9888063,201.3203002
198.9657864,188.7322469,198.5295066
231.9443857,234.2760995,200.3328624
183.4958476,180.4427523,199.4996501
207.6917629,201.6260569,198.0045061
195.2597116,196.7258625,201.6470645
193.813029,193.7843758,201.7278567
207.2590476,202.2794659,198.2823185
197.0159779,192.5079609,192.8017139
205.159722,197.6737502,202.0966134
184.6490479,180.2716112,196.6825416
194.8603713,196.0606137,195.9251496
205.4124947,204.5762491,203.8228094
197.1652304,192.556585,195.5788285
209.8402878,203.1745841,202.5821393
197.4676887,199.8197199,198.2718385
191.7488042,182.6004175,196.1758246
181.7727761,177.1262275,201.2736696
183.1799868,182.3341553,195.1883171
209.4343279,212.290406,197.1284361
199.2746742,205.6605339,195.5120442
212.5671629,210.0433929,200.0498216
205.3038531,205.1230415,196.9397358
192.8131255,185.3181583,204.9790066
171.2771437,166.8543679,201.455697
208.9299055,210.078629,195.6343946
199.6447244,199.7311492,195.7658543
209.8447748,201.4006144,198.7840646
201.3617929,197.4273956,192.4795264
193.0866982,180.7489629,200.932749
228.344599,225.4352077,196.995967
212.1019522,210.6512581,195.7796743
185.2794501,180.0835968,198.9530845
207.465063,204.9248832,200.158938
197.9974266,198.2512134,198.4438229
182.6465641,176.8422066,195.1130518
196.3539903,195.09762,193.3705845
198.8831472,197.1429149,198.2198978
208.9344351,203.8429154,196.8648074
209.6985451,207.5392034,199.7014902
209.1745705,210.8688754,202.1153935
199.6338337,189.6169931,193.9209575
212.8457065,207.4179201,198.4644815
208.9149505,208.7348713,191.9707975
213.261065,205.6895675,204.5707367
179.6223873,179.059382,198.6300603
194.0952714,191.0163356,203.7940964
198.9010744,191.4827115,199.6180765
