noise_model,agent,quantile,naive_horizon_min,simex_horizon_min,pct_change
per_task (b),Kimi K2 Thinking,p80,15.00494299,20.66268835,37.70587715
per_task (b),Qwen2-72B,p50,2.53663442,2.805015158,10.58018989
per_task (b),Qwen2-72B,p80,0.595156574,0.6885243526,15.68793537
per_task (b),Qwen2.5-72B,p50,5.813797863,6.693748303,15.13555272
per_task (b),Qwen2.5-72B,p80,1.325385357,1.719607473,29.7439619
per_task (b),davinci-002 (GPT-3),p50,0.14405665,0.1433114455,-0.5172995942
per_task (b),davinci-002 (GPT-3),p80,0.05623770781,0.05766760705,2.542598728
per_task (b),gpt-3.5-turbo-instruct,p50,0.5992472543,0.627183801,4.661939881
per_task (b),gpt-3.5-turbo-instruct,p80,0.2553798185,0.2650735568,3.795812204
per_task (b),gpt-oss-120b,p50,45.11018354,47.64981123,5.629832301
per_task (b),gpt-oss-120b,p80,8.352219801,11.65613646,39.55734805
per_task (b),human,p50,115.4045805,106.8636015,-7.400901197
per_task (b),human,p80,9.760064148,12.96889102,32.87710844
per_task (b),o1,p50,41.55170568,44.14605954,6.243675964
per_task (b),o1,p80,7.645697121,10.48975668,37.1981719
per_task (b),o1-preview,p50,23.25472798,25.86960154,11.2444814
per_task (b),o1-preview,p80,6.418505153,8.994743361,40.13766674
per_task (b),o3,p50,91.44379881,93.58151202,2.337734473
per_task (b),o3,p80,27.3006699,36.31502808,33.0188168
per_task (b),o4-mini,p50,76.748308,77.97139816,1.593637941
per_task (b),o4-mini,p80,20.14777633,26.93933858,33.70874353
