noise_model,lambda,agent,quantile,mean_log2_horizon
per_task,1,Gemini 2.5 Pro Preview,p80,3.247348593
per_task,1,Grok 4,p80,3.841065917
per_task,1,Kimi K2 Thinking,p80,3.512719545
per_task,1,Qwen2-72B,p80,-0.9984369778
per_task,1,Qwen2.5-72B,p80,0.04329352739
per_task,1,davinci-002 (GPT-3),p80,-4.19154458
per_task,1,gpt-3.5-turbo-instruct,p80,-2.048603752
per_task,1,gpt-oss-120b,p80,2.651250988
per_task,1,human,p80,2.94035894
per_task,1,o1,p80,2.534655544
per_task,1,o1-preview,p80,2.237204748
per_task,1,o3,p80,4.410431249
per_task,1,o4-mini,p80,3.966662938
per_task,1.5,Claude 3 Opus,p50,2.557012195
per_task,1.5,Claude 3.5 Sonnet (New),p50,4.782032895
per_task,1.5,Claude 3.5 Sonnet (Old),p50,4.094716761
per_task,1.5,Claude 3.7 Sonnet,p50,5.742119501
per_task,1.5,Claude 4 Opus,p50,6.389045442
per_task,1.5,Claude 4 Sonnet,p50,6.189703937
per_task,1.5,Claude 4.1 Opus,p50,6.864003475
per_task,1.5,Claude Opus 4.5,p50,8.387736241
per_task,1.5,Claude Sonnet 4.5,p50,6.988927041
per_task,1.5,DeepSeek-R1,p50,4.639540519
per_task,1.5,DeepSeek-R1-0528,p50,4.920931069
per_task,1.5,DeepSeek-V3,p50,4.078562251
per_task,1.5,DeepSeek-V3-0324,p50,4.418287219
per_task,1.5,GPT-2,p50,-4.268753479
per_task,1.5,GPT-4 0125,p50,2.329889687
per_task,1.5,GPT-4 0314,p50,2.305102002
per_task,1.5,GPT-4 1106,p50,2.961380006
per_task,1.5,GPT-4 Turbo,p50,2.610887207
per_task,1.5,GPT-4o,p50,3.066463113
per_task,1.5,GPT-5,p50,7.176273444
per_task,1.5,GPT-5.1-Codex-Max,p50,7.552815893
per_task,1.5,Gemini 2.5 Pro Preview,p50,5.210140747
per_task,1.5,Grok 4,p50,6.823304343
per_task,1.5,Kimi K2 Thinking,p50,5.784142319
per_task,1.5,Qwen2-72B,p50,1.099226442
per_task,1.5,Qwen2.5-72B,p50,2.250437669
per_task,1.5,davinci-002 (GPT-3),p50,-2.802912107
per_task,1.5,gpt-3.5-turbo-instruct,p50,-0.8638785445
per_task,1.5,gpt-oss-120b,p50,5.415323063
per_task,1.5,human,p50,7.032661541
per_task,1.5,o1,p50,5.282559925
per_task,1.5,o1-preview,p50,4.333220896
per_task,1.5,o3,p50,6.540207236
per_task,1.5,o4-mini,p50,6.282403423
per_task,1.5,Claude 3 Opus,p80,0.1050680206
per_task,1.5,Claude 3.5 Sonnet (New),p80,1.932683779
per_task,1.5,Claude 3.5 Sonnet (Old),p80,1.433996463
per_task,1.5,Claude 3.7 Sonnet,p80,3.792663306
per_task,1.5,Claude 4 Opus,p80,4.184509373
per_task,1.5,Claude 4 Sonnet,p80,3.875029692
per_task,1.5,Claude 4.1 Opus,p80,4.212116538
per_task,1.5,Claude Opus 4.5,p80,4.782983086
per_task,1.5,Claude Sonnet 4.5,p80,4.153131366
per_task,1.5,DeepSeek-R1,p80,1.862848366
per_task,1.5,DeepSeek-R1-0528,p80,1.620203578
per_task,1.5,DeepSeek-V3,p80,1.768180655
per_task,1.5,DeepSeek-V3-0324,p80,2.226404753
per_task,1.5,GPT-2,p80,-6.378167746
per_task,1.5,GPT-4 0125,p80,0.3200465033
per_task,1.5,GPT-4 0314,p80,-0.08418539713
per_task,1.5,GPT-4 1106,p80,0.422298239
per_task,1.5,GPT-4 Turbo,p80,0.6384293554
per_task,1.5,GPT-4o,p80,0.6287324166
per_task,1.5,GPT-5,p80,4.498098415
per_task,1.5,GPT-5.1-Codex-Max,p80,4.797691343
per_task,1.5,Gemini 2.5 Pro Preview,p80,3.020607739
per_task,1.5,Grok 4,p80,3.669890999
per_task,1.5,Kimi K2 Thinking,p80,3.284219999
per_task,1.5,Qwen2-72B,p80,-1.124040107
per_task,1.5,Qwen2.5-72B,p80,-0.1334344652
per_task,1.5,davinci-002 (GPT-3),p80,-4.20760281
per_task,1.5,gpt-3.5-turbo-instruct,p80,-2.097806091
per_task,1.5,gpt-oss-120b,p80,2.45045669
per_task,1.5,human,p80,2.758543914
per_task,1.5,o1,p80,2.312277828
per_task,1.5,o1-preview,p80,2.021553447
per_task,1.5,o3,p80,4.217443682
per_task,1.5,o4-mini,p80,3.773287875
per_task,2,Claude 3 Opus,p50,2.465640517
per_task,2,Claude 3.5 Sonnet (New),p50,4.739249556
per_task,2,Claude 3.5 Sonnet (Old),p50,4.031020707
per_task,2,Claude 3.7 Sonnet,p50,5.727067587
per_task,2,Claude 4 Opus,p50,6.392972191
per_task,2,Claude 4 Sonnet,p50,6.185996582
per_task,2,Claude 4.1 Opus,p50,6.890541021
per_task,2,Claude Opus 4.5,p50,8.498476355
per_task,2,Claude Sonnet 4.5,p50,7.026661725
per_task,2,DeepSeek-R1,p50,4.591345421
per_task,2,DeepSeek-R1-0528,p50,4.88959707
per_task,2,DeepSeek-V3,p50,4.007677502
per_task,2,DeepSeek-V3-0324,p50,4.356124274
per_task,2,GPT-2,p50,-4.283279969
per_task,2,GPT-4 0125,p50,2.216309647
per_task,2,GPT-4 0314,p50,2.210854831
per_task,2,GPT-4 1106,p50,2.875174204
per_task,2,GPT-4 Turbo,p50,2.502430215
per_task,2,GPT-4o,p50,2.978571966
per_task,2,GPT-5,p50,7.218710781
per_task,2,GPT-5.1-Codex-Max,p50,7.616987612
per_task,2,Gemini 2.5 Pro Preview,p50,5.172988811
