metr,metr+x_param,x_param_only
115.3644626,111.2171867,111.7795861
103.2170936,101.383781,117.9430138
134.0309172,107.886741,109.9244307
136.4699057,131.1166418,118.296939
120.8955255,103.0517521,115.5273041
112.0534842,93.59657974,120.1525457
141.5122943,115.1420096,114.6031707
112.3907626,106.792797,118.6142503
145.6380574,132.7249085,121.0247141
111.5580668,101.9593113,116.3164931
116.4992539,97.99706349,115.1154982
134.2293496,116.8561211,119.4005616
132.8812664,124.181744,121.7806591
114.9891146,114.3736903,115.8128378
162.2762641,152.4847027,117.510338
149.6343312,124.0123946,116.4673889
97.28606759,88.92168371,116.5891638
145.68814,131.7971625,120.167467
131.2209002,126.3825606,117.2852604
117.4625967,114.0083762,117.9207221
131.0320919,117.7047858,116.4113897
116.102488,97.7830125,117.0880441
121.0673653,103.3299345,111.1481329
133.6243733,126.4939267,119.7656279
160.3697836,144.20052,116.2971271
136.7366127,130.699344,119.0693532
116.6899232,111.7283427,118.1457684
134.6989899,110.1968788,117.517157
122.754462,112.8888572,114.8887067
126.519948,118.6115165,119.6925462
119.9997394,103.667929,121.8478536
128.172351,113.6404826,117.5354115
118.8716896,111.8720218,117.2813575
129.4768076,112.7612128,117.8518548
142.5235547,131.1035,114.6746416
122.8935368,110.9780251,113.2849874
128.0670245,115.0670233,109.3523365
145.0460614,124.7278758,113.9515918
129.3446785,115.0961705,109.3067832
134.3291588,125.5525844,111.5696565
163.2179607,138.7726879,116.1953743
140.0500303,123.7572981,121.6075955
134.9835047,135.9254523,114.4989584
133.9633224,115.8910579,114.1265064
140.697131,134.2193653,112.4643836
141.5675628,120.6691255,119.8436879
140.3149406,131.5643577,117.2371975
119.1092902,109.5005361,122.2509028
109.7540734,91.6236152,119.1043407
133.4164426,112.2448857,122.4119176
114.4732766,103.7449142,116.164628
124.6462361,103.8764088,124.1505467
113.814567,111.7994379,119.1602476
181.563941,166.9490411,119.6649838
103.1979143,89.75551588,118.6599376
133.8953042,118.2515784,114.2492101
124.0856217,112.2932232,115.2457137
141.7784925,133.6029246,119.0268878
125.4341529,118.0952847,117.5032812
110.9753554,84.07736594,118.6492759
