noise_model,agent,quantile,naive_horizon_min,simex_horizon_min,pct_change,simex_horizon_min_exp,pct_change_exp
per_task (b),GPT-5.2,p50,352.2493024,281.8742392,-19.97876579,270.9074641,-23.0921219
per_task (b),GPT-5.2,p80,66.00264878,91.31799319,38.35504312,83.44895157,26.43273128
per_task (b),GPT-5.3-Codex,p50,349.5307318,275.7092031,-21.12018256,269.6046629,-22.86667855
per_task (b),GPT-5.3-Codex,p80,54.73940667,74.89107102,36.81381583,68.90390024,25.87622781
per_task (b),Gemini 3 Pro,p50,224.3258837,208.8432754,-6.901837614,197.7880911,-11.83001808
per_task (b),Gemini 3 Pro,p80,54.14284922,82.95673362,53.21826394,73.46963042,35.69590717
per_task (b),human,p50,106.4252784,100.2071879,-5.842681961,97.64034349,-8.254556673
per_task (b),human,p80,12.26887719,16.08416264,31.0972666,15.62483501,27.35342258
per_task (b),o1 (Inspect),p50,38.83158779,42.69856933,9.958339992,41.75664059,7.532663384
per_task (b),o1 (Inspect),p80,7.090120692,9.907819282,39.7411936,9.839967989,38.78420998
per_task (b),o1-preview,p50,20.32658648,22.86916814,12.5086505,22.64381791,11.40000284
per_task (b),o1-preview,p80,4.420544769,6.210088177,40.48241794,6.183504811,39.88105845
per_task (b),o3 (Inspect),p50,119.7326339,126.8259486,5.92429528,118.9412496,-0.6609595317
per_task (b),o3 (Inspect),p80,29.9816028,43.4667281,44.97799998,41.44937646,38.24936824
