Claude 3 Opus (Inspect)@p50,Claude 3.5 Sonnet (New) (Inspect)@p50,Claude 3.5 Sonnet (Old) (Inspect)@p50,Claude 3.7 Sonnet (Inspect)@p50,Claude 4 Opus (Inspect)@p50,Claude 4.1 Opus (Inspect)@p50,Claude Opus 4.5 (Inspect)@p50,Claude Opus 4.6 (Inspect)@p50,GPT-4 0314@p50,GPT-4 1106 (Inspect)@p50,GPT-4 Turbo (Inspect)@p50,GPT-4o (Inspect)@p50,GPT-5 (Inspect)@p50,GPT-5.1-Codex-Max (Inspect)@p50,GPT-5.2@p50,GPT-5.3-Codex@p50,Gemini 3 Pro@p50,human@p50,o1 (Inspect)@p50,o1-preview@p50,o3 (Inspect)@p50,Claude 3 Opus (Inspect)@p80,Claude 3.5 Sonnet (New) (Inspect)@p80,Claude 3.5 Sonnet (Old) (Inspect)@p80,Claude 3.7 Sonnet (Inspect)@p80,Claude 4 Opus (Inspect)@p80,Claude 4.1 Opus (Inspect)@p80,Claude Opus 4.5 (Inspect)@p80,Claude Opus 4.6 (Inspect)@p80,GPT-4 0314@p80,GPT-4 1106 (Inspect)@p80,GPT-4 Turbo (Inspect)@p80,GPT-4o (Inspect)@p80,GPT-5 (Inspect)@p80,GPT-5.1-Codex-Max (Inspect)@p80,GPT-5.2@p80,GPT-5.3-Codex@p80,Gemini 3 Pro@p80,human@p80,o1 (Inspect)@p80,o1-preview@p80,o3 (Inspect)@p80
3.688564319,18.16623628,10.35998894,53.00685049,87.67304645,87.15400758,282.1748639,968.7729355,3.618886629,3.778119759,3.443707263,6.572822114,185.9105665,205.6728193,350.6854565,403.2075589,207.7085024,97.73159848,34.12511257,17.55832636,102.0832539,0.5722880806,1.991069881,1.375616914,9.778413364,15.44547375,17.08424018,35.89320764,51.36183805,0.7584595794,0.6960015445,0.7842930264,1.174443016,27.37363696,34.47594357,47.22637247,34.50829859,35.32520515,8.955355753,5.245913368,3.20633091,24.30706554
3.49088384,19.02112667,10.29404074,59.63245332,105.1925394,104.3718145,396.4747509,1479.767139,3.44012105,3.700926712,3.21708952,6.374602543,252.741482,279.0562973,515.5100277,488.3937226,282.6193771,125.5665931,37.53586541,18.65943118,127.0479106,0.5032743592,1.89714938,1.230182239,9.27972855,16.09406753,17.52436734,41.91549245,63.40651411,0.6724064027,0.6942604681,0.7030125781,1.083774721,29.34784066,39.57299118,56.02977775,48.96290509,40.55974013,9.780114632,6.501162345,3.390947609,22.23523114
3.674218753,19.2402936,11.01415168,58.24960061,98.09545843,97.71885382,313.5813429,1104.052744,3.630553214,3.879665233,3.329313683,6.617367856,211.6160842,233.3111854,370.64059,401.7178947,230.8734697,114.7284774,37.1955269,18.95235715,116.5866843,0.5376957342,2.00096386,1.567273861,9.893530625,17.92792963,19.67217528,43.80696812,58.71450098,0.7206993917,0.7222227258,0.6983439428,1.113714631,31.85590542,41.45434484,61.94282229,46.12724124,45.06782629,10.3113177,5.958145753,3.422406202,25.23851015
3.665229855,19.44136391,10.76229701,60.97126835,105.8995619,104.8888657,397.0929359,1088.268229,3.660902493,3.679324023,3.263697593,6.26663578,239.9201221,266.655622,478.6169822,537.7827544,276.688698,120.7946796,37.99187067,19.75961565,126.4655592,0.5427823852,1.872555417,1.318713726,8.333578695,15.83727189,18.08011166,37.84069857,67.8012479,0.681073033,0.6344760562,0.686341929,0.9246346595,30.02381607,38.93479447,54.58890744,40.22762442,37.7934618,9.87852327,5.039715476,3.60138247,22.88907812
3.405826472,18.68471376,10.3485101,57.40345411,97.99645812,97.42169098,332.124784,892.7146821,3.373095246,3.441166736,3.232137699,5.973670311,221.440378,244.0876443,441.9613773,383.2956808,250.0347288,104.4645367,36.28241755,18.98452429,114.9108542,0.4700340453,1.845842148,1.276769585,8.401012626,15.85591362,17.09524297,40.28553178,66.12599362,0.6355385706,0.5574273264,0.7062032524,0.8553749427,28.15136686,36.84230423,50.3747619,49.57185934,36.73312058,11.12465386,5.178826825,3.450830798,24.75187486
3.063732267,18.66143463,9.470153778,58.58666431,98.54200314,98.26243011,340.6360328,1061.832062,3.358738526,3.05711854,2.840333202,5.886032557,208.4067196,222.284453,379.4262679,394.1955768,229.191079,135.6896225,36.04628323,18.34698641,115.2409603,0.3637831766,1.828839935,0.90679913,10.2229169,15.97128888,17.61458163,35.96574794,56.8022825,0.598322121,0.4203256586,0.5333952624,0.8475721843,30.76894405,43.52964751,55.53487835,44.1715335,42.11273398,8.438317318,4.552891718,2.88614288,30.31610368
3.412513646,18.95444419,10.08056223,59.93252236,104.5045265,104.2880216,395.1982204,1178.102874,3.538000763,3.48454995,3.135101582,6.007489591,236.2860813,259.8200221,454.7495404,469.1101153,262.1339595,121.3050043,36.74561296,18.46669039,125.0267013,0.4737928302,1.871012128,1.157224193,8.946716997,16.58021762,17.72679286,37.40104081,63.97393388,0.7252192089,0.5880242409,0.6669001535,0.8915371675,30.80764407,41.57129217,57.37149299,45.58721484,42.96077619,10.56106081,4.531026746,2.877135337,25.59346129
3.522043655,18.20644497,9.82352264,56.22604819,100.9895292,99.88418285,455.0669383,1519.863725,3.339580431,3.612854855,3.137299327,5.962291068,240.7977112,275.5205724,576.9500474,531.7705785,296.3093,114.3801701,35.16462842,17.6628904,118.6843799,0.5440783904,1.78045307,1.136152504,7.485247052,12.22424519,13.37422249,29.58687427,56.52443565,0.6373437224,0.6757590705,0.6780527968,0.9233064124,25.45975655,31.75714544,42.65263092,38.03036154,29.32196257,8.847794629,5.107788542,3.308538718,19.65045855
3.604633158,20.1869444,10.75878448,62.98177264,111.9384634,109.7548633,422.0213074,1489.238103,3.422070727,3.808429377,3.325481356,6.468223645,268.8626663,305.427102,635.0383969,596.3928389,296.97898,129.3519278,39.19511256,19.70897214,134.4600732,0.5170888084,1.979640502,1.271134428,8.688501472,14.94056552,18.25621642,40.8391152,64.88523473,0.6442128282,0.7094036145,0.7368723005,1.023700287,28.34515684,35.92566593,47.34525318,41.44514234,40.11861977,12.57868463,5.590906148,3.517839153,21.74942783
3.416198841,18.80188105,10.12087971,55.24365428,91.39346184,91.5131141,284.1535444,959.0094682,3.499432562,3.427686633,3.195552221,6.178546322,189.1768152,204.0178497,354.8133516,365.0021444,206.6444401,108.6350937,34.61119633,18.50533685,107.0553903,0.4917664175,2.283572876,1.22582803,10.43635571,16.78472393,17.0200381,41.14471904,55.8554416,0.6814451508,0.5701551328,0.7061936869,0.9932328749,31.82133976,42.80169963,53.29684364,43.16703436,43.50941547,10.31928108,4.579739937,3.415814874,25.23402182
