noise_model,lambda,agent,quantile,mean_log2_horizon
per_task (b),1.0,GPT-2,p50,-4.2535960567401
per_task (b),1.0,GPT-4 0125,p50,2.4341307535715373
per_task (b),1.0,GPT-4 0314,p50,2.394029872700059
per_task (b),1.0,GPT-4 1106,p50,3.0489160804752276
per_task (b),1.0,GPT-4 Turbo,p50,2.719626435355551
per_task (b),1.0,GPT-4o,p50,3.155664153296917
per_task (b),1.0,GPT-5,p50,7.098978676622725
per_task (b),1.0,GPT-5.1-Codex-Max,p50,7.443325463590092
per_task (b),1.0,Gemini 2.5 Pro Preview,p50,5.2416518225711535
per_task (b),1.0,Grok 4,p50,6.7706796528309745
per_task (b),1.0,Kimi K2 Thinking,p50,5.791124581714456
per_task (b),1.0,Qwen2-72B,p50,1.182408130703302
per_task (b),1.0,Qwen2.5-72B,p50,2.344726588862649
per_task (b),1.0,davinci-002 (GPT-3),p50,-2.7993253917804584
per_task (b),1.0,gpt-3.5-turbo-instruct,p50,-0.8111575093818886
per_task (b),1.0,gpt-oss-120b,p50,5.431152049587982
per_task (b),1.0,human,p50,6.956446903324254
per_task (b),1.0,o1,p50,5.304077287890002
per_task (b),1.0,o1-preview,p50,4.395833909152465
per_task (b),1.0,o3,p50,6.507816850437953
per_task (b),1.0,o4-mini,p50,6.2557942823969555
per_task (b),1.0,Claude 3 Opus,p80,0.2642582495274788
per_task (b),1.0,Claude 3.5 Sonnet (New),p80,2.135894015479961
per_task (b),1.0,Claude 3.5 Sonnet (Old),p80,1.6411802917129714
per_task (b),1.0,Claude 3.7 Sonnet,p80,3.99030503050156
per_task (b),1.0,Claude 4 Opus,p80,4.3816261728870725
per_task (b),1.0,Claude 4 Sonnet,p80,4.076872531271569
per_task (b),1.0,Claude 4.1 Opus,p80,4.404733679645486
per_task (b),1.0,Claude Opus 4.5,p80,4.903477582129945
per_task (b),1.0,Claude Sonnet 4.5,p80,4.329160998244287
per_task (b),1.0,DeepSeek-R1,p80,2.0659796522762606
per_task (b),1.0,DeepSeek-R1-0528,p80,1.8286676883596298
per_task (b),1.0,DeepSeek-V3,p80,1.97902730540955
per_task (b),1.0,DeepSeek-V3-0324,p80,2.4466808183279465
per_task (b),1.0,GPT-2,p80,-6.353287996292406
per_task (b),1.0,GPT-4 0125,p80,0.5048590478143714
per_task (b),1.0,GPT-4 0314,p80,0.07801804753295617
per_task (b),1.0,GPT-4 1106,p80,0.6180358906519576
per_task (b),1.0,GPT-4 Turbo,p80,0.845995274256465
per_task (b),1.0,GPT-4o,p80,0.8299633362695631
per_task (b),1.0,GPT-5,p80,4.685718243786213
per_task (b),1.0,GPT-5.1-Codex-Max,p80,4.9860582414441295
per_task (b),1.0,Gemini 2.5 Pro Preview,p80,3.2473485929662815
per_task (b),1.0,Grok 4,p80,3.8410659169447685
per_task (b),1.0,Kimi K2 Thinking,p80,3.512719545138122
per_task (b),1.0,Qwen2-72B,p80,-0.9984369778348827
per_task (b),1.0,Qwen2.5-72B,p80,0.04329352738444792
per_task (b),1.0,davinci-002 (GPT-3),p80,-4.191544579889924
per_task (b),1.0,gpt-3.5-turbo-instruct,p80,-2.0486037517584834
per_task (b),1.0,gpt-oss-120b,p80,2.6512509880131643
per_task (b),1.0,human,p80,2.9403589398900185
per_task (b),1.0,o1,p80,2.534655543818412
per_task (b),1.0,o1-preview,p80,2.237204747936483
per_task (b),1.0,o3,p80,4.410431249335326
per_task (b),1.0,o4-mini,p80,3.966662937543769
per_task (b),1.5,Claude 3 Opus,p50,2.557012195485723
per_task (b),1.5,Claude 3.5 Sonnet (New),p50,4.782032894506885
per_task (b),1.5,Claude 3.5 Sonnet (Old),p50,4.0947167614686375
per_task (b),1.5,Claude 3.7 Sonnet,p50,5.742119500616992
per_task (b),1.5,Claude 4 Opus,p50,6.389045442143535
per_task (b),1.5,Claude 4 Sonnet,p50,6.189703936905224
per_task (b),1.5,Claude 4.1 Opus,p50,6.864003475109039
per_task (b),1.5,Claude Opus 4.5,p50,8.387736241485152
per_task (b),1.5,Claude Sonnet 4.5,p50,6.988927041117678
per_task (b),1.5,DeepSeek-R1,p50,4.639540519382303
per_task (b),1.5,DeepSeek-R1-0528,p50,4.920931068941849
per_task (b),1.5,DeepSeek-V3,p50,4.078562251174342
per_task (b),1.5,DeepSeek-V3-0324,p50,4.4182872189086195
per_task (b),1.5,GPT-2,p50,-4.268753479133368
per_task (b),1.5,GPT-4 0125,p50,2.329889687440058
per_task (b),1.5,GPT-4 0314,p50,2.3051020019600723
per_task (b),1.5,GPT-4 1106,p50,2.961380006199746
per_task (b),1.5,GPT-4 Turbo,p50,2.610887207204519
per_task (b),1.5,GPT-4o,p50,3.0664631130245845
per_task (b),1.5,GPT-5,p50,7.1762734441284985
per_task (b),1.5,GPT-5.1-Codex-Max,p50,7.552815893150672
per_task (b),1.5,Gemini 2.5 Pro Preview,p50,5.210140747430329
per_task (b),1.5,Grok 4,p50,6.823304342737593
per_task (b),1.5,Kimi K2 Thinking,p50,5.7841423185142276
per_task (b),1.5,Qwen2-72B,p50,1.0992264423925229
per_task (b),1.5,Qwen2.5-72B,p50,2.2504376694185764
per_task (b),1.5,davinci-002 (GPT-3),p50,-2.802912107192516
per_task (b),1.5,gpt-3.5-turbo-instruct,p50,-0.8638785445147026
per_task (b),1.5,gpt-oss-120b,p50,5.41532306303699
per_task (b),1.5,human,p50,7.03266154125211
per_task (b),1.5,o1,p50,5.282559925126076
per_task (b),1.5,o1-preview,p50,4.333220896080093
per_task (b),1.5,o3,p50,6.54020723587444
per_task (b),1.5,o4-mini,p50,6.282403422856646
per_task (b),1.5,Claude 3 Opus,p80,0.10506802058134687
per_task (b),1.5,Claude 3.5 Sonnet (New),p80,1.9326837791352913
per_task (b),1.5,Claude 3.5 Sonnet (Old),p80,1.4339964631281636
per_task (b),1.5,Claude 3.7 Sonnet,p80,3.79266330599917
per_task (b),1.5,Claude 4 Opus,p80,4.184509372835181
per_task (b),1.5,Claude 4 Sonnet,p80,3.875029691860565
per_task (b),1.5,Claude 4.1 Opus,p80,4.212116538128028
per_task (b),1.5,Claude Opus 4.5,p80,4.782983085813672
per_task (b),1.5,Claude Sonnet 4.5,p80,4.153131366131805
per_task (b),1.5,DeepSeek-R1,p80,1.8628483655137231
per_task (b),1.5,DeepSeek-R1-0528,p80,1.620203577607127
per_task (b),1.5,DeepSeek-V3,p80,1.7681806546452268
per_task (b),1.5,DeepSeek-V3-0324,p80,2.2264047533747755
per_task (b),1.5,GPT-2,p80,-6.378167746005834
per_task (b),1.5,GPT-4 0125,p80,0.32004650333305806
per_task (b),1.5,GPT-4 0314,p80,-0.084185397133379
per_task (b),1.5,GPT-4 1106,p80,0.42229823898845076
per_task (b),1.5,GPT-4 Turbo,p80,0.6384293554165326
per_task (b),1.5,GPT-4o,p80,0.6287324165837915
per_task (b),1.5,GPT-5,p80,4.498098414522467
per_task (b),1.5,GPT-5.1-Codex-Max,p80,4.797691343355911
per_task (b),1.5,Gemini 2.5 Pro Preview,p80,3.0206077388394252
per_task (b),1.5,Grok 4,p80,3.669890999267746
per_task (b),1.5,Kimi K2 Thinking,p80,3.2842199994335584
per_task (b),1.5,Qwen2-72B,p80,-1.1240401071192512
per_task (b),1.5,Qwen2.5-72B,p80,-0.1334344651798113
per_task (b),1.5,davinci-002 (GPT-3),p80,-4.207602809765687
per_task (b),1.5,gpt-3.5-turbo-instruct,p80,-2.097806090899811
per_task (b),1.5,gpt-oss-120b,p80,2.4504566902538794
per_task (b),1.5,human,p80,2.7585439142989814
per_task (b),1.5,o1,p80,2.3122778281818084
per_task (b),1.5,o1-preview,p80,2.0215534472566734
per_task (b),1.5,o3,p80,4.21744368197396
per_task (b),1.5,o4-mini,p80,3.7732878747117864
