noise_model,agent,quantile,naive_horizon_min,simex_horizon_min,pct_change,simex_horizon_min_exp,pct_change_exp
per_task,Claude 3.7 Sonnet,p80,20.37879406,26.52991457,30.18392787,26.14908927,28.31519462
per_task,Claude 4 Opus,p50,83.56779346,86.07256953,2.997298323,83.55137966,-0.01964129356
per_task,Claude 4 Opus,p80,26.88671009,35.8892495,33.48323158,34.5454485,28.48521958
per_task,Claude 4 Sonnet,p50,73.66073349,75.9317564,3.083084847,74.22899136,0.7714529088
per_task,Claude 4 Sonnet,p80,21.94867379,29.91958572,36.31614377,28.35716438,29.19762103
per_task,Claude 4.1 Opus,p50,109.2630376,107.8203874,-1.320346099,105.0595955,-3.847085203
per_task,Claude 4.1 Opus,p80,27.28986364,37.1274534,36.04851193,34.86312105,27.75117349
per_task,Claude Opus 4.5,p50,246.781803,200.4252598,-18.78442522,203.159294,-17.67655009
per_task,Claude Opus 4.5,p80,36.03928647,45.50670129,26.26970659,42.80459824,18.77204692
per_task,Claude Sonnet 4.5,p50,116.5284127,112.6186042,-3.355240531,110.328917,-5.32015802
per_task,Claude Sonnet 4.5,p80,26.095319,35.8577047,37.41048615,33.35844154,27.83304753
per_task,DeepSeek-R1,p50,27.88761597,30.51636347,9.426218061,30.04179902,7.724514881
per_task,DeepSeek-R1,p80,5.62946119,7.775823335,38.12731045,7.497727785,33.18730748
per_task,DeepSeek-R1-0528,p50,32.76428221,35.08033552,7.06883579,34.50530702,5.313788959
per_task,DeepSeek-R1-0528,p80,4.671541227,6.380315482,36.57838327,6.118812063,30.98058576
per_task,DeepSeek-V3,p50,19.82281199,22.37014252,12.85050039,22.03999492,11.18500713
per_task,DeepSeek-V3,p80,5.424592748,7.726635958,42.43716196,7.37587532,35.97104267
per_task,DeepSeek-V3-0324,p50,24.59434806,27.28542308,10.94184326,26.98215755,9.708773253
per_task,DeepSeek-V3-0324,p80,7.452729322,10.55268506,41.59490581,10.10533239,35.59237096
per_task,GPT-2,p50,0.05377793191,0.05541802415,3.049749565,0.05507246228,2.407177678
per_task,GPT-2,p80,0.01279993199,0.01369329945,6.979470342,0.01331130377,3.995113242
per_task,GPT-4 0125,p50,6.346858532,7.496876081,18.11947664,7.424523108,16.97949578
per_task,GPT-4 0125,p80,1.91398563,2.595193941,35.59108803,2.560185877,33.76202188
per_task,GPT-4 0314,p50,6.02411446,6.94720027,15.32317847,6.878958841,14.19037414
per_task,GPT-4 0314,p80,1.367526324,1.791411897,30.99652019,1.757307162,28.50262044
per_task,GPT-4 1106,p50,9.394535596,10.72970423,14.21218346,10.64138577,13.27207886
per_task,GPT-4 1106,p80,2.010190075,2.657345356,32.19373574,2.632894389,30.97738477
per_task,GPT-4 Turbo,p50,7.777455467,9.315059204,19.77001018,9.133480427,17.43532915
per_task,GPT-4 Turbo,p80,2.492662421,3.565343788,43.03355957,3.414275908,36.97305658
per_task,GPT-4o,p50,10.17485719,11.72071805,15.19294895,11.57747684,13.78515312
per_task,GPT-4o,p80,2.374363861,3.229708102,36.02414331,3.157873085,32.99870066
per_task,GPT-5,p50,130.8165282,126.4627648,-3.328144783,122.8599074,-6.082274903
per_task,GPT-5,p80,32.9843466,44.85551982,35.99032405,41.88397043,26.98135555
per_task,GPT-5.1-Codex-Max,p50,162.2536988,154.262406,-4.925183743,147.9938115,-8.788636225
per_task,GPT-5.1-Codex-Max,p80,40.03903532,52.94118638,32.22393086,50.44896207,25.99944445
per_task,Gemini 2.5 Pro Preview,p50,40.18228176,42.86911551,6.68661319,42.43925832,5.616845201
per_task,Gemini 2.5 Pro Preview,p80,12.56567706,17.04549654,35.65123834,16.65115808,32.51301938
per_task,Grok 4,p50,104.84751,101.4022473,-3.285974775,99.78234588,-4.830981837
per_task,Grok 4,p80,18.5913098,25.36348833,36.42658105,23.75403429,27.76955761
per_task,Kimi K2 Thinking,p50,57.62172382,60.67217471,5.293925076,59.38827189,3.065767479
per_task,Kimi K2 Thinking,p80,15.00494299,20.66268835,37.70587715,19.72444202,31.45296212
per_task,Qwen2-72B,p50,2.53663442,2.805015158,10.58018989,2.845061048,12.15889155
per_task,Qwen2-72B,p80,0.595156574,0.6885243526,15.68793537,0.7123376764,19.68912174
per_task,Qwen2.5-72B,p50,5.813797863,6.693748303,15.13555272,6.644294825,14.28493012
per_task,Qwen2.5-72B,p80,1.325385357,1.719607473,29.7439619,1.70274747,28.47187878
per_task,davinci-002 (GPT-3),p50,0.14405665,0.1433114455,-0.5172995942,0.1447563937,0.4857420878
per_task,davinci-002 (GPT-3),p80,0.05623770781,0.05766760705,2.542598728,0.05774092287,2.672966446
per_task,gpt-3.5-turbo-instruct,p50,0.5992472543,0.627183801,4.661939881,0.6342849668,5.846954211
per_task,gpt-3.5-turbo-instruct,p80,0.2553798185,0.2650735568,3.795812204,0.27167154,6.37940837
per_task,gpt-oss-120b,p50,45.11018354,47.64981123,5.629832301,46.80978486,3.767666594
per_task,gpt-oss-120b,p80,8.352219801,11.65613646,39.55734805,10.97896626,31.44968068
per_task,human,p50,115.4045805,106.8636015,-7.400901197,106.4942061,-7.720988497
per_task,human,p80,9.760064148,12.96889102,32.87710844,12.33539185,26.38638089
per_task,o1,p50,41.55170568,44.14605954,6.243675964,43.39178696,4.428413357
per_task,o1,p80,7.645697121,10.48975668,37.1981719,10.07343362,31.75297764
per_task,o1-preview,p50,23.25472798,25.86960154,11.2444814,25.56729398,9.944498169
per_task,o1-preview,p80,6.418505153,8.994743361,40.13766674,8.67279241,35.12168649
per_task,o3,p50,91.44379881,93.58151202,2.337734473,90.5151226,-1.015570463
per_task,o3,p80,27.3006699,36.31502808,33.0188168,34.93038534,27.94698984
per_task,o4-mini,p50,76.748308,77.97139816,1.593637941,76.16638001,-0.7582290901
per_task,o4-mini,p80,20.14777633,26.93933858,33.70874353,25.84291768,28.26684822
