noise_model,lambda,agent,quantile,mean_log2_horizon
per_task,1.5,Claude 4.1 Opus (Inspect),p80,3.842331254
per_task,1.5,Claude Opus 4.5 (Inspect),p80,5.070137146
per_task,1.5,Claude Opus 4.6 (Inspect),p80,5.874652822
per_task,1.5,GPT-4 0314,p80,-0.8002934749
per_task,1.5,GPT-4 1106 (Inspect),p80,-1.003395333
per_task,1.5,GPT-4 Turbo (Inspect),p80,-0.7896490893
per_task,1.5,GPT-4o (Inspect),p80,-0.344427516
per_task,1.5,GPT-5 (Inspect),p80,4.615357362
per_task,1.5,GPT-5.1-Codex-Max (Inspect),p80,5.010662596
per_task,1.5,GPT-5.2,p80,5.529232334
per_task,1.5,GPT-5.3-Codex,p80,5.272958098
per_task,1.5,Gemini 3 Pro,p80,5.083509853
per_task,1.5,human,p80,3.101166514
per_task,1.5,o1 (Inspect),p80,2.126886168
per_task,1.5,o1-preview,p80,1.44314852
per_task,1.5,o3 (Inspect),p80,4.201766609
per_task,2,Claude 3 Opus (Inspect),p50,1.540232924
per_task,2,Claude 3.5 Sonnet (New) (Inspect),p50,4.078762941
per_task,2,Claude 3.5 Sonnet (Old) (Inspect),p50,3.160257402
per_task,2,Claude 3.7 Sonnet (Inspect),p50,5.797679704
per_task,2,Claude 4 Opus (Inspect),p50,6.675990874
per_task,2,Claude 4.1 Opus (Inspect),p50,6.649026232
per_task,2,Claude Opus 4.5 (Inspect),p50,8.824876699
per_task,2,Claude Opus 4.6 (Inspect),p50,10.76144423
per_task,2,GPT-4 0314,p50,1.547595914
per_task,2,GPT-4 1106 (Inspect),p50,1.556317188
per_task,2,GPT-4 Turbo (Inspect),p50,1.402650262
per_task,2,GPT-4o (Inspect),p50,2.380466477
per_task,2,GPT-5 (Inspect),p50,8.033979004
per_task,2,GPT-5.1-Codex-Max (Inspect),p50,8.20388579
per_task,2,GPT-5.2,p50,9.231193092
per_task,2,GPT-5.3-Codex,p50,9.205808947
per_task,2,Gemini 3 Pro,p50,8.191057977
per_task,2,human,p50,6.992721589
per_task,2,o1 (Inspect),p50,5.077167833
per_task,2,o1-preview,p50,4.036196068
per_task,2,o3 (Inspect),p50,6.945789626
per_task,2,Claude 3 Opus (Inspect),p80,-1.511605179
per_task,2,Claude 3.5 Sonnet (New) (Inspect),p80,0.3989154583
per_task,2,Claude 3.5 Sonnet (Old) (Inspect),p80,-0.2055136963
per_task,2,Claude 3.7 Sonnet (Inspect),p80,2.655994812
per_task,2,Claude 4 Opus (Inspect),p80,3.426659802
per_task,2,Claude 4.1 Opus (Inspect),p80,3.618410171
per_task,2,Claude Opus 4.5 (Inspect),p80,4.917881224
per_task,2,Claude Opus 4.6 (Inspect),p80,5.788798056
per_task,2,GPT-4 0314,p80,-1.021155011
per_task,2,GPT-4 1106 (Inspect),p80,-1.239614131
per_task,2,GPT-4 Turbo (Inspect),p80,-1.039920576
per_task,2,GPT-4o (Inspect),p80,-0.5871522383
per_task,2,GPT-5 (Inspect),p80,4.440492429
per_task,2,GPT-5.1-Codex-Max (Inspect),p80,4.83441037
per_task,2,GPT-5.2,p80,5.399519727
per_task,2,GPT-5.3-Codex,p80,5.138797325
per_task,2,Gemini 3 Pro,p80,4.921484737
per_task,2,human,p80,2.927431757
per_task,2,o1 (Inspect),p80,1.879343916
per_task,2,o1-preview,p80,1.169466078
per_task,2,o3 (Inspect),p80,3.987743623
metr_global,0,Claude 3 Opus (Inspect),p50,1.982678569
metr_global,0,Claude 3.5 Sonnet (New) (Inspect),p50,4.359160704
metr_global,0,Claude 3.5 Sonnet (Old) (Inspect),p50,3.510376708
metr_global,0,Claude 3.7 Sonnet (Inspect),p50,5.916212364
metr_global,0,Claude 4 Opus (Inspect),p50,6.649128588
metr_global,0,Claude 4.1 Opus (Inspect),p50,6.650649744
metr_global,0,Claude Opus 4.5 (Inspect),p50,8.194730234
metr_global,0,Claude Opus 4.6 (Inspect),p50,9.489460307
metr_global,0,GPT-4 0314,p50,1.99545841
metr_global,0,GPT-4 1106 (Inspect),p50,2.016125046
metr_global,0,GPT-4 Turbo (Inspect),p50,1.900253164
metr_global,0,GPT-4o (Inspect),p50,2.805539142
metr_global,0,GPT-5 (Inspect),p50,7.665425299
metr_global,0,GPT-5.1-Codex-Max (Inspect),p50,7.805516211
metr_global,0,GPT-5.2,p50,8.460453039
metr_global,0,GPT-5.3-Codex,p50,8.449275497
metr_global,0,Gemini 3 Pro,p50,7.809452284
metr_global,0,human,p50,6.733697054
metr_global,0,o1 (Inspect),p50,5.279158794
metr_global,0,o1-preview,p50,4.345296053
metr_global,0,o3 (Inspect),p50,6.903672611
metr_global,0,Claude 3 Opus (Inspect),p80,-0.6461738908
metr_global,0,Claude 3.5 Sonnet (New) (Inspect),p80,1.376110792
metr_global,0,Claude 3.5 Sonnet (Old) (Inspect),p80,0.7413652493
metr_global,0,Claude 3.7 Sonnet (Inspect),p80,3.59595593
metr_global,0,Claude 4 Opus (Inspect),p80,4.352599774
metr_global,0,Claude 4.1 Opus (Inspect),p80,4.551870403
metr_global,0,Claude Opus 4.5 (Inspect),p80,5.627332041
metr_global,0,Claude Opus 4.6 (Inspect),p80,6.126695945
metr_global,0,GPT-4 0314,p80,-0.1688351487
metr_global,0,GPT-4 1106 (Inspect),p80,-0.3528560383
metr_global,0,GPT-4 Turbo (Inspect),p80,-0.1079079974
metr_global,0,GPT-4o (Inspect),p80,0.3414267432
metr_global,0,GPT-5 (Inspect),p80,5.259740667
metr_global,0,GPT-5.1-Codex-Max (Inspect),p80,5.6619918
metr_global,0,GPT-5.2,p80,6.044452018
metr_global,0,GPT-5.3-Codex,p80,5.774507892
metr_global,0,Gemini 3 Pro,p80,5.758698905
metr_global,0,human,p80,3.616931319
metr_global,0,o1 (Inspect),p80,2.825810186
metr_global,0,o1-preview,p80,2.144224172
metr_global,0,o3 (Inspect),p80,4.906005606
metr_global,0.5,Claude 3 Opus (Inspect),p50,1.88161042
metr_global,0.5,Claude 3.5 Sonnet (New) (Inspect),p50,4.289473059
metr_global,0.5,Claude 3.5 Sonnet (Old) (Inspect),p50,3.429996386
metr_global,0.5,Claude 3.7 Sonnet (Inspect),p50,5.871256487
metr_global,0.5,Claude 4 Opus (Inspect),p50,6.627897916
metr_global,0.5,Claude 4.1 Opus (Inspect),p50,6.618687614
metr_global,0.5,Claude Opus 4.5 (Inspect),p50,8.314326124
metr_global,0.5,Claude Opus 4.6 (Inspect),p50,9.798069265
metr_global,0.5,GPT-4 0314,p50,1.896826604
metr_global,0.5,GPT-4 1106 (Inspect),p50,1.913888134
metr_global,0.5,GPT-4 Turbo (Inspect),p50,1.79183048
metr_global,0.5,GPT-4o (Inspect),p50,2.711225853
metr_global,0.5,GPT-5 (Inspect),p50,7.72070042
metr_global,0.5,GPT-5.1-Codex-Max (Inspect),p50,7.862040541
metr_global,0.5,GPT-5.2,p50,8.618083171
metr_global,0.5,GPT-5.3-Codex,p50,8.610357241
metr_global,0.5,Gemini 3 Pro,p50,7.860965986
metr_global,0.5,human,p50,6.78785721
metr_global,0.5,o1 (Inspect),p50,5.222113733
metr_global,0.5,o1-preview,p50,4.274305909
metr_global,0.5,o3 (Inspect),p50,6.877606204
metr_global,0.5,Claude 3 Opus (Inspect),p80,-0.8477968913
metr_global,0.5,Claude 3.5 Sonnet (New) (Inspect),p80,1.151702388
metr_global,0.5,Claude 3.5 Sonnet (Old) (Inspect),p80,0.5316644682
metr_global,0.5,Claude 3.7 Sonnet (Inspect),p80,3.38330046
metr_global,0.5,Claude 4 Opus (Inspect),p80,4.127387192
metr_global,0.5,Claude 4.1 Opus (Inspect),p80,4.332049275
metr_global,0.5,Claude Opus 4.5 (Inspect),p80,5.429466621
metr_global,0.5,Claude Opus 4.6 (Inspect),p80,6.017756468
metr_global,0.5,GPT-4 0314,p80,-0.3637842009
metr_global,0.5,GPT-4 1106 (Inspect),p80,-0.5538646529
metr_global,0.5,GPT-4 Turbo (Inspect),p80,-0.3158576283
metr_global,0.5,GPT-4o (Inspect),p80,0.1343697729
metr_global,0.5,GPT-5 (Inspect),p80,5.03661391
metr_global,0.5,GPT-5.1-Codex-Max (Inspect),p80,5.422538488
metr_global,0.5,GPT-5.2,p80,5.846802368
metr_global,0.5,GPT-5.3-Codex,p80,5.583689668
metr_global,0.5,Gemini 3 Pro,p80,5.507287226
metr_global,0.5,human,p80,3.441901274
metr_global,0.5,o1 (Inspect),p80,2.609113992
metr_global,0.5,o1-preview,p80,1.931560925
metr_global,0.5,o3 (Inspect),p80,4.670072105
metr_global,1,Claude 3 Opus (Inspect),p50,1.76709989
metr_global,1,Claude 3.5 Sonnet (New) (Inspect),p50,4.218674625
metr_global,1,Claude 3.5 Sonnet (Old) (Inspect),p50,3.33824101
metr_global,1,Claude 3.7 Sonnet (Inspect),p50,5.837346581
metr_global,1,Claude 4 Opus (Inspect),p50,6.628587236
metr_global,1,Claude 4.1 Opus (Inspect),p50,6.611869634
metr_global,1,Claude Opus 4.5 (Inspect),p50,8.468304731
metr_global,1,Claude Opus 4.6 (Inspect),p50,10.10369463
metr_global,1,GPT-4 0314,p50,1.778918652
metr_global,1,GPT-4 1106 (Inspect),p50,1.793055934
metr_global,1,GPT-4 Turbo (Inspect),p50,1.659437197
metr_global,1,GPT-4o (Inspect),p50,2.601514778
metr_global,1,GPT-5 (Inspect),p50,7.803095156
metr_global,1,GPT-5.1-Codex-Max (Inspect),p50,7.949190817
metr_global,1,GPT-5.2,p50,8.794607246
metr_global,1,GPT-5.3-Codex,p50,8.786102287
metr_global,1,Gemini 3 Pro,p50,7.948243213
metr_global,1,human,p50,6.831787269
metr_global,1,o1 (Inspect),p50,5.169870675
metr_global,1,o1-preview,p50,4.197262146
metr_global,1,o3 (Inspect),p50,6.879584429
metr_global,1,Claude 3 Opus (Inspect),p80,-1.070433879
metr_global,1,Claude 3.5 Sonnet (New) (Inspect),p80,0.9190655416
metr_global,1,Claude 3.5 Sonnet (Old) (Inspect),p80,0.2867931949
metr_global,1,Claude 3.7 Sonnet (Inspect),p80,3.153646264
